ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	1115	2	0	0.000000	5.167713	5.167713	0.000000	0.000000	0	0	0
2	611	0	2	0.000000	5.366612	5.286416	0.000000	0.000000	0	0	0
3	1963	2	0	0.000000	5.241467	5.164544	0.000000	0.000000	0	0	0
4	49	1	1	0.000000	7.489796	7.489796	0.000000	0.000000	0	0	0
5	421	0	2	0.000000	4.838480	4.838480	0.000000	0.000000	0	0	0
6	1177	0	0	0.000000	5.255735	5.156330	0.000000	0.000000	0	0	0
7	461	0	2	0.000000	5.095445	5.095445	0.000000	0.000000	0	0	0
8	405	2	0	0.000000	4.977778	4.977778	0.000000	0.000000	0	0	0
9	337	0	0	0.000000	4.400593	4.400593	0.000000	0.000000	0	0	0
10	1157	0	0	0.000000	5.398444	5.356093	0.000000	0.000000	0	0	0
11	162	0	0	0.000000	4.246914	4.246914	0.000000	0.000000	0	0	0
12	1185	0	0	0.000000	4.871730	4.825316	0.000000	0.000000	0	0	0
13	238	0	0	0.000000	4.542017	4.542017	0.000000	0.000000	0	0	0
14	359	0	0	0.000000	5.760446	5.501393	0.000000	0.000000	0	0	0
15	1140	0	0	0.000000	4.789474	4.740351	0.000000	0.000000	0	0	0
16	98	0	0	0.000000	1.030612	1.030612	0.000000	0.000000	0	0	0
17	496	0	0	0.000000	4.455645	4.455645	0.000000	0.000000	0	0	0
18	247	0	2	0.000000	4.813765	4.813765	0.000000	0.000000	0	0	0
19	289	0	0	0.000000	4.415225	4.415225	0.000000	0.000000	0	0	0
20	137	0	0	0.000000	3.124088	3.124088	0.000000	0.000000	0	0	0
21	36	1	2	0.000000	6.472222	6.472222	0.000000	0.000000	0	0	0
22	131	2	0	0.000000	4.511450	4.511450	0.000000	0.000000	0	0	0
23	22	2	1	0.000000	4.954545	4.954545	0.000000	0.000000	0	0	0
24	638	0	0	0.000000	3.942006	3.736677	0.000000	0.000000	0	0	0
25	976	0	2	0.000000	5.601434	5.420082	0.000000	0.000000	0	0	0
26	49	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
27	136	1	0	0.000000	5.558824	5.558824	0.000000	0.000000	0	0	0
28	49	1	1	0.000000	4.346939	4.346939	0.000000	0.000000	0	0	0
29	49	1	1	0.000000	6.122449	6.122449	0.000000	0.000000	0	0	0
30	197	0	0	0.000000	3.385787	3.385787	0.000000	0.000000	0	0	0
31	202	0	2	0.000000	3.806931	3.480198	0.000000	0.000000	0	0	0
32	102	0	0	0.000000	4.068627	4.068627	0.000000	0.000000	0	0	0
33	511	0	0	0.000000	4.512720	4.397260	0.000000	0.000000	0	0	0
34	366	2	0	0.000000	5.833333	5.497268	0.000000	0.000000	0	0	0
35	49	1	1	0.000000	5.551020	5.551020	0.000000	0.000000	0	0	0
36	27	1	1	0.000000	3.370370	3.370370	0.000000	0.000000	0	0	0
37	9	2	2	0.000000	4.777778	4.777778	0.000000	0.000000	0	0	0
38	13	1	1	0.000000	5.230769	5.230769	0.000000	0.000000	0	0	0
39	49	1	1	0.000000	1.102041	1.102041	0.000000	0.000000	0	0	0
40	49	1	1	0.000000	1.408163	1.408163	0.000000	0.000000	0	0	0
41	49	1	1	0.000000	1.204082	1.204082	0.000000	0.000000	0	0	0
42	49	1	1	0.000000	1.346939	1.346939	0.000000	0.000000	0	0	0
43	100	1	0	0.000000	1.030000	1.030000	0.000000	0.000000	0	0	0
44	49	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
45	49	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
