ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	1	2	2	0.000000	31.000000	18.000000	0.000000	0.000000	0	0	0
2	16	2	1	0.000000	38.875000	24.375000	0.000000	0.000000	0	0	0
3	1	1	1	0.000000	38.000000	25.000000	0.000000	0.000000	0	0	0
4	4	2	2	0.000000	40.000000	25.500000	0.000000	0.000000	0	0	0
5	13	1	1	0.000000	39.230769	26.538462	0.000000	0.000000	0	0	0
6	17	1	2	0.000000	36.882353	14.823529	0.000000	0.000000	0	0	0
7	3	1	2	0.000000	40.000000	27.666667	0.000000	0.000000	0	0	0
8	1	1	2	0.000000	40.000000	26.000000	0.000000	0.000000	0	0	0
9	3	2	2	0.000000	39.000000	26.666667	0.000000	0.000000	0	0	0
10	12	1	1	0.000000	38.416667	19.500000	0.000000	0.000000	0	0	0
11	3	1	2	0.000000	37.333333	25.000000	0.000000	0.000000	0	0	0
12	22	2	2	0.000000	33.954545	14.181818	0.000000	0.000000	0	0	0
13	7	1	2	0.000000	35.714286	24.571429	0.000000	0.000000	0	0	0
14	46	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
15	4	2	2	0.000000	34.750000	23.000000	0.000000	0.000000	0	0	0
16	11	1	1	0.000000	31.909091	19.272727	0.000000	0.000000	0	0	0
17	4	2	2	0.000000	35.750000	11.000000	0.000000	0.000000	0	0	0
18	5	2	2	0.000000	43.600000	29.400000	0.000000	0.000000	0	0	0
19	1	1	1	0.000000	43.000000	31.000000	0.000000	0.000000	0	0	0
20	2	2	2	0.000000	45.500000	32.500000	0.000000	0.000000	0	0	0
21	12	2	1	0.000000	46.500000	4.166667	0.000000	0.000000	0	0	0
22	10	1	1	0.000000	46.200000	31.000000	0.000000	0.000000	0	0	0
23	2	2	1	0.000000	45.000000	25.500000	0.000000	0.000000	0	0	0
24	1	1	1	0.000000	46.000000	27.000000	0.000000	0.000000	0	0	0
25	2	1	2	0.000000	47.000000	27.500000	0.000000	0.000000	0	0	0
26	5	1	2	0.000000	47.000000	26.200000	0.000000	0.000000	0	0	0
27	7	1	2	0.000000	45.142857	22.142857	0.000000	0.000000	0	0	0
28	34	1	2	0.000000	28.882353	8.529412	0.000000	0.000000	0	0	0
29	1	1	1	0.000000	37.000000	15.000000	0.000000	0.000000	0	0	0
30	1	2	2	0.000000	37.000000	17.000000	0.000000	0.000000	0	0	0
