ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	2605	2	0	0.000000	7.287140	6.028407	0.000000	0.000000	0	0	0
2	667	1	2	0.000000	8.976012	7.434783	0.000000	0.000000	0	0	0
3	931	1	2	0.000000	7.751880	6.860365	0.000000	0.000000	0	0	0
4	2232	1	2	0.000000	7.780914	6.646057	0.000000	0.000000	0	0	0
5	1151	0	0	0.000000	7.847089	6.983493	0.000000	0.000000	0	0	0
6	624	2	2	0.000000	7.187500	6.655449	0.000000	0.000000	0	0	0
7	301	2	2	0.000000	8.501661	7.508306	0.000000	0.000000	0	0	0
8	52	1	1	0.000000	9.019231	6.211538	0.000000	0.000000	0	0	0
9	855	2	2	0.000000	8.029240	7.162573	0.000000	0.000000	0	0	0
10	1047	0	2	0.000000	7.680038	6.939828	0.000000	0.000000	0	0	0
11	142	0	2	0.000000	7.992958	7.992958	0.000000	0.000000	0	0	0
12	9	2	1	0.000000	4.333333	4.333333	0.000000	0.000000	0	0	0
13	43	1	1	0.000000	1.209302	1.209302	0.000000	0.000000	0	0	0
14	450	2	2	0.000000	7.882222	6.520000	0.000000	0.000000	0	0	0
15	1	1	1	0.000000	9.000000	7.000000	0.000000	0.000000	0	0	0
16	10	1	2	0.000000	8.700000	8.700000	0.000000	0.000000	0	0	0
17	43	1	1	0.000000	7.837209	7.837209	0.000000	0.000000	0	0	0
18	31	1	2	0.000000	4.516129	4.516129	0.000000	0.000000	0	0	0
19	35	1	2	0.000000	7.685714	7.685714	0.000000	0.000000	0	0	0
20	774	3	2	0.000000	8.322997	6.888889	0.000000	0.000000	0	0	0
21	43	1	1	0.000000	1.093023	1.093023	0.000000	0.000000	0	0	0
22	43	1	1	0.000000	1.883721	1.883721	0.000000	0.000000	0	0	0
23	43	1	1	0.000000	1.697674	1.697674	0.000000	0.000000	0	0	0
24	26	2	2	0.000000	4.500000	4.500000	0.000000	0.000000	0	0	0
25	14	2	1	0.000000	3.785714	3.785714	0.000000	0.000000	0	0	0
26	1183	2	2	0.000000	7.472527	6.879121	0.000000	0.000000	0	0	0
27	87	1	0	0.000000	1.298851	1.298851	0.000000	0.000000	0	0	0
28	93	1	0	0.000000	1.064516	1.064516	0.000000	0.000000	0	0	0
29	43	1	1	0.000000	1.627907	1.627907	0.000000	0.000000	0	0	0
30	224	2	2	0.000000	8.316964	6.254464	0.000000	0.000000	0	0	0
31	31	2	1	0.000000	10.225806	7.709677	0.000000	0.000000	0	0	0
32	12	1	1	0.000000	7.166667	7.166667	0.000000	0.000000	0	0	0
33	31	1	2	0.000000	7.967742	7.161290	0.000000	0.000000	0	0	0
34	127	0	2	0.000000	6.574803	5.173228	0.000000	0.000000	0	0	0
35	20	2	2	0.000000	8.500000	8.500000	0.000000	0.000000	0	0	0
36	105	1	1	0.000000	9.914286	9.009524	0.000000	0.000000	0	0	0
37	10	2	1	0.000000	10.200000	8.900000	0.000000	0.000000	0	0	0
38	43	1	1	0.000000	1.395349	1.395349	0.000000	0.000000	0	0	0
39	579	1	2	0.000000	7.583765	6.526770	0.000000	0.000000	0	0	0
40	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
41	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
42	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
43	43	1	1	0.000000	1.209302	1.209302	0.000000	0.000000	0	0	0
44	43	1	1	0.000000	1.093023	1.093023	0.000000	0.000000	0	0	0
45	294	2	2	0.000000	8.829932	7.391156	0.000000	0.000000	0	0	0
46	43	1	1	0.000000	10.790698	4.697674	0.000000	0.000000	0	0	0
47	4	2	1	0.000000	14.000000	12.000000	0.000000	0.000000	0	0	0
48	898	2	0	0.000000	7.673719	6.840757	0.000000	0.000000	0	0	0
49	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
50	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
51	20	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
52	9	1	2	0.000000	6.444444	6.444444	0.000000	0.000000	0	0	0
53	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
54	43	1	1	0.000000	1.232558	1.232558	0.000000	0.000000	0	0	0
55	129	1	0	0.000000	1.062016	1.062016	0.000000	0.000000	0	0	0
56	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
57	8	1	2	0.000000	13.500000	13.500000	0.000000	0.000000	0	0	0
58	7	1	2	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
59	34	1	2	0.000000	9.705882	9.705882	0.000000	0.000000	0	0	0
60	52	1	1	0.000000	1.019231	1.019231	0.000000	0.000000	0	0	0
61	4	2	1	0.000000	11.500000	11.500000	0.000000	0.000000	0	0	0
62	7	2	1	0.000000	10.142857	10.142857	0.000000	0.000000	0	0	0
63	28	1	1	0.000000	7.464286	7.464286	0.000000	0.000000	0	0	0
64	39	1	1	0.000000	5.256410	5.051282	0.000000	0.000000	0	0	0
65	4	1	2	0.000000	5.750000	4.750000	0.000000	0.000000	0	0	0
66	43	1	1	0.000000	6.697674	6.697674	0.000000	0.000000	0	0	0
67	43	1	1	0.000000	1.558140	1.558140	0.000000	0.000000	0	0	0
68	29	1	1	0.000000	10.793103	10.586207	0.000000	0.000000	0	0	0
69	33	1	1	0.000000	9.666667	8.727273	0.000000	0.000000	0	0	0
70	20	2	2	0.000000	6.700000	6.700000	0.000000	0.000000	0	0	0
71	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
72	8	1	1	0.000000	7.875000	7.875000	0.000000	0.000000	0	0	0
73	27	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
74	97	0	0	0.000000	1.360825	1.360825	0.000000	0.000000	0	0	0
75	105	1	1	0.000000	1.076190	1.076190	0.000000	0.000000	0	0	0
76	9	1	1	0.000000	11.222222	11.222222	0.000000	0.000000	0	0	0
77	222	2	0	0.000000	6.522523	6.040541	0.000000	0.000000	0	0	0
78	90	0	2	0.000000	9.066667	7.688889	0.000000	0.000000	0	0	0
79	101	1	0	0.000000	1.009901	1.009901	0.000000	0.000000	0	0	0
80	44	1	1	0.000000	1.022727	1.022727	0.000000	0.000000	0	0	0
81	97	1	0	0.000000	1.010309	1.010309	0.000000	0.000000	0	0	0
82	44	1	1	0.000000	8.795455	8.795455	0.000000	0.000000	0	0	0
83	27	1	1	0.000000	8.148148	5.925926	0.000000	0.000000	0	0	0
84	8	2	1	0.000000	11.625000	11.250000	0.000000	0.000000	0	0	0
85	10	2	1	0.000000	14.100000	12.200000	0.000000	0.000000	0	0	0
86	186	2	0	0.000000	5.129032	4.827957	0.000000	0.000000	0	0	0
87	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
88	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
89	4	1	3	0.000000	8.750000	8.750000	0.000000	0.000000	0	0	0
90	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
91	2	2	2	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
92	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
93	34	2	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
94	14	1	2	0.000000	10.642857	10.642857	0.000000	0.000000	0	0	0
95	43	1	1	0.000000	2.000000	1.232558	0.000000	0.000000	0	0	0
